SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26079458-1,N9-1,2ZPB76,焊线,2026-07-24T13:55:40,TO-247APlus-4L
Q26079308-1,N5-4,2ZPB77,焊线,2026-07-15T22:11:03,TO-247Plus-4L
Q26073888-12,N4-5,2ZPB73,焊线,2026-07-21T09:54:40,TO-247-2L-A
Q26079374-1,N9-1,2ZPB76,焊线,2026-07-21T13:04:13,TO-247B-3L
Q26073468-2,N7-2,2ZPB16,焊线,2026-07-23T07:32:53,TO-247-2L-A
Q26079375-1,N9-1,2ZPB76,焊线,2026-07-21T13:36:02,TO-247B-3L
Q26065404-7,N3-4,2ZPB93,焊线,2026-07-24T14:33:53,TOLL-8L(6R)
Q26073457-7,N7-2,2ZPB16,焊线,2026-07-24T13:20:03,TO-247-2L-A
Q26072304-4,N5-4,2ZPB77,焊线,2026-07-24T00:49:36,TO-247-4L
Q26074684-3-1,N2-3,2ZPB03,焊线,2026-07-24T09:46:47,TO-220-3L-C(T0.5mm)
Q26079315-1,N5-4,2ZPB77,焊线,2026-07-15T22:52:14,TO-247Plus-4L
Q26079468-1,N9-1,2ZPB76,焊线,2026-07-24T14:38:04,TO-247APlus-4L
Q26079377-1,N5-4,2ZPB77,焊线,2026-07-16T21:42:31,TO-247Plus-4L
Q26069E34-1,N9-1,2ZPB76,焊线,2026-07-21T16:23:11,TO-247B-3L
Q26079413-1,N8-6,2ZPB31,焊线,2026-07-22T07:12:29,TO-263C-2L
Q26079376-1,N5-4,2ZPB77,焊线,2026-07-16T21:12:13,TO-247Plus-4L
Q26072332-2,N6-8,2ZPB69,焊线,2026-07-17T00:18:48,TO-247Plus-4L
Q26073941-1,N5-4,2ZPB77,焊线,2026-07-21T23:42:16,TO-247-4L
Q26079462-1,N9-1,2ZPB76,焊线,2026-07-24T10:28:12,TO-247APlus-4L
Q26074396-3,N5-4,2ZPB77,焊线,2026-07-23T01:06:33,TO-247-4L
Q26079310-1,N5-4,2ZPB77,焊线,2026-07-16T17:51:39,TO-247Plus-4L
Q26073465-3,N4-3,2ZPB71,焊线,2026-07-24T01:21:16,TO-247-2L-A
Q26069D92-1,N9-1,2ZPB76,焊线,2026-07-24T01:22:11,TO-247Plus-4L
Q26073468-6,N7-2,2ZPB16,焊线,2026-07-23T13:27:32,TO-247-2L-A
Q26075248-2,N8-7,2ZPB32,焊线,2026-07-24T02:35:59,TO-220-3L
Q26079318-1,N5-4,2ZPB77,焊线,2026-07-16T06:23:55,TO-247Plus-4L
Q26079544-1,N8-4,2ZPB28,焊线,2026-07-23T20:05:06,TO-247
Q26069Y01-1,N8-8,2ZPB51,焊线,2026-06-09T04:13:08,TO-263-5L
Q26079465-1,N9-1,2ZPB76,焊线,2026-07-24T11:57:02,TO-247APlus-4L
Q26073468-7,N7-2,2ZPB16,焊线,2026-07-23T15:08:02,TO-247-2L-A
Q26073893-5,N3-7,2ZPB110,焊线,2026-07-24T12:43:33,TO-252-2L(8R)
Q26079463-1,N9-1,2ZPB76,焊线,2026-07-24T13:21:23,TO-247APlus-4L
Q26079X03-1,N6-2,2ZPB97,焊线,2026-07-22T18:52:26,TOLT-16L
Q26068574-4,N4-2,2ZPB70,焊线,2026-07-22T03:31:00,TO-247-2L-A
Q26073888-11,N4-5,2ZPB73,焊线,2026-07-21T09:01:57,TO-247-2L-A
Q26079080-1,N3-1,2ZPB63,焊线,2026-07-23T06:38:34,TO-264-3L
Q26072282-4,N4-2,2ZPB70,焊线,2026-07-24T12:01:48,TO-247-2L-A
Q26079079-1,N3-1,2ZPB63,焊线,2026-07-23T06:08:35,TO-264-3L
Q26075249-4,N7-8,2ZPB24,焊线,2026-07-24T05:32:43,TO-220F
