SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26067195-32,X1-17,1ZP040,装片烘烤,2026-07-24T12:50:44,TO-92
Q26066747-10,D1-01,3ZPS158,装片烘烤,2026-07-24T13:33:39,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26060037-1,C4-15,3ZPS93,装片烘烤,2026-07-24T13:50:42,TSOT-23-6L
Q26067402-31,C2-12,3ZPS122,装片烘烤,2026-07-24T13:57:56,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26072631-62,C3-12,3ZPS131,装片烘烤,2026-07-24T14:01:56,QFNWB1.7*2-12L-C(P0.40T0.50)
Q26067402-33,C2-12,3ZPS122,装片烘烤,2026-07-24T14:10:17,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26072645-3,C1-03,3ZPS65,装片烘烤,2026-07-24T14:33:08,SOP8(150mil)(12R)
Q26068792-8,D1-03,3ZPS156,装片烘烤,2026-07-24T14:54:21,QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block)
Q26067103-3,C7-02,3ZPS146,装片烘烤,2026-07-24T14:55:28,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
Q26079580-1,C8-04,3ZPS01,装片烘烤,2026-07-24T14:17:08,SOP8/PP(150mil)(12R)
Q26066423-8,C7-10,3ZPS102,装片烘烤,2026-07-24T14:52:09,SOP8(150mil)(12R)
Q26065969-2,C6-05,3ZPS68,装片烘烤,2026-07-24T14:33:31,SOP8(150mil)(12R)
Q26056941-7,D1-02,3ZPS157,装片烘烤,2026-07-24T14:56:51,DFNWB3*3-12L(P0.45T0.75)(1 block)
Q26067195-36,X1-14,1ZP036,装片烘烤,2026-07-24T13:37:30,TO-92
Q26073925-7,D8-05,3ZPS239,装片烘烤,2026-07-24T14:28:10,SOP8(150mil)(12R)
Q26074645-14-1,C6-15,3ZPS135,装片烘烤,2026-07-24T14:36:50,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26071193-1,D1-06,3ZPS225,装片烘烤,2026-07-24T13:58:10,MSOP8(8R)
Q26067402-32,C2-12,3ZPS122,装片烘烤,2026-07-24T14:25:13,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26074059-11,C1-06,3ZPS138,装片烘烤,2026-07-24T14:21:13,SOP8(150mil)(12R)
Q26062192-20,D6-01,3ZPS191,装片烘烤,2026-07-24T14:32:23,TSSOP16/PP(173mil)(10R)
Q26073471-27,N12-3,3ZPS85,装片烘烤,2026-07-24T14:13:08,TO-247-2L-A
Q26068792-7,D1-03,3ZPS156,装片烘烤,2026-07-24T14:38:30,QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block)
Q26071763-10,C5-04,3ZPS19,装片烘烤,2026-07-24T13:54:16,SOP16(150mil)(12R)
Q26072073-7,N10-4,2ZPB91,装片烘烤,2026-07-24T13:59:52,PDFNWB3.3×3.3-8L(P0.65T0.75)
Q26056941-5,D1-02,3ZPS157,装片烘烤,2026-07-24T14:26:06,DFNWB3*3-12L(P0.45T0.75)(1 block)
Q26061810-1,D6-03,3ZPS166,装片烘烤,2026-07-24T14:29:09,HTSSOP32/PP-A(240mil)(8R)
Q26068143-8,D4-04,3ZPS212,装片烘烤,2026-07-24T14:49:16,SOP8(150mil)(12R)
Q26074061-1,C1-06,3ZPS138,装片烘烤,2026-07-24T14:51:31,SOP8(150mil)(12R)
Q26071279-44,D8-04,3ZPS238,装片烘烤,2026-07-24T14:12:46,DFNWB2*3-08L-P(P0.50T0.55)
Q26074582-9,C2-17,3ZPS64,装片烘烤,2026-07-24T13:52:53,SOP8(150mil)(12R)
Q26072071-12,N13-3,2ZPB44,装片烘烤,2026-07-24T13:22:06,PDFNWB3.3×3.3-8L(P0.65T0.75)
Q26062848-9,D4-03,3ZPS211,装片烘烤,2026-07-24T14:26:28,SOP8/PP(150mil)(12R)
Q26065611-1,D7-07,3ZPS234,装片烘烤,2026-07-23T21:06:21,SOP8(150mil)(12R)
Q26073821-36,D7-01,3ZPS227,装片烘烤,2026-07-24T13:53:38,SOP16(150mil)(12R)
Q26073284-26,C4-18,3ZPS242,装片烘烤,2026-07-24T13:56:54,DFNWB2*2-6L-SB(P0.65T0.55)(1 block)
Q26073885-8,N11-11,2ZPB40,装片烘烤,2026-07-24T12:29:37,TO-252-2L(6R)
Q26074241-1,D2-05,3ZPS171,装片烘烤,2026-07-24T14:29:32,DFNWB4.5*3-14L-NB(P0.65T0.85)(1 block)(wettable)
Q26072631-13,C7-09,3ZPS150,装片烘烤,2026-07-24T14:27:12,QFNWB1.7*2-12L-C(P0.40T0.50)
Q26067752-7,C6-06,3ZPS04,装片烘烤,2026-07-24T14:14:34,TSSOP16/PP
Q26068275-14,C1-08,3ZPS140,装片烘烤,2026-07-24T14:27:24,DFNWB2*2-06L-J(P0.65T0.75)(1 block)
Q26073023-5,D3-03,3ZPS188,装片压力烘烤,2026-07-24T14:47:09,SOP16(300mil)(5R)
