SUBLOT,AREA,STEP,EQP,DATES,PACKAGE
Q26062348-22,Q04-06,焊线,3QHS3868,2026-07-24T11:17:04,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26072828-15,D11-13,焊线,3QHS3995,2026-07-24T12:05:01,SOP8(150mil)(12R)
Q26072052-1,C15-16,焊线,3QHS4244,2026-07-24T12:20:57,SSOP14/PP(150mil)(8R)
Q26075033-5,Q11-05,焊线,3QHS2275,2026-07-24T14:47:08,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26073679-20,Q09-14,焊线,3QHS3027,2026-07-24T11:24:36,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26071490-16,Q09-05,焊线,3QHS4009,2026-07-24T09:56:01,DFNWB3*3-08L(P0.65T0.75)(1 block)
Q26062348-23,Q06-04,焊线,3QHS3902,2026-07-24T12:17:24,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26067195-25,N7-16,焊线,1QH029,2026-07-24T14:53:30,TO-92
Q26067751-2,C01-08,焊线,3QHS3820,2026-07-24T13:16:16,TSSOP16/PP
Q26067398-41,D19-07,焊线,3QHS117,2026-07-24T12:17:47,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26067066-9,D05-11,焊线,3QHS712,2026-07-24T10:49:21,SOP8/PP(150mil)(12R)
Q26072096-28,D21-13,焊线,3QHS3763,2026-07-24T07:07:31,SOP16(150mil)(12R)
Q26072096-30,D06-14,焊线,3QHS3789,2026-07-24T13:17:13,SOP16(150mil)(12R)
Q26073676-1,D19-13,焊线,3QHS504,2026-07-24T09:13:58,TSSOP8(8R)
Q26067145-24,Q07-10,焊线,3QHS3931,2026-07-24T10:45:33,QFNWB3.5*3.5-14L(P0.50T0.75)(1 block)
Q26067924-11,C04-03,焊线,3QHS4276,2026-07-24T12:20:08,SOP14(9R)
Q26062191-14,C17-05,焊线,3QHS4219,2026-07-24T01:17:05,TSSOP16/PP(173mil)(10R)
Q26055760-54,C08-13,焊线,3QHS4309,2026-07-23T14:46:46,SOP16(300mil)(5R)
Q26055760-59,C12-01,焊线,3QHS4141,2026-07-24T07:10:04,SOP16(300mil)(5R)
Q26073759-1,Q04-17,焊线,3QHS4056,2026-07-24T13:27:42,QFNWB1.5*1.5-08L-C(P0.50T0.55)
Q26057114-15,C12-12,焊线,3QHS4114,2026-07-24T11:54:07,SSOP16(150mil)(8R)
Q26057114-17,Q17-13,焊线,3QHS4096,2026-07-24T13:11:50,SSOP16(150mil)(8R)
Q26064033-4,C02-04,焊线,3QHS3994,2026-07-24T13:45:50,QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)(wettable)
Q26064033-6,C06-15,焊线,3QHS2514,2026-07-24T14:51:26,QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)(wettable)
Q26065344-8,Q11-13,焊线,3QHS317,2026-07-24T01:54:43,DFNWB3*3-10L-P(P0.50T0.75)(1 block)
Q26071913-4,D12-03,焊线,3QHS3060,2026-07-23T22:07:47,DFNWB1*1.4-4L(P0.5T0.37)
Q26068335-12,C06-02,焊线,3QHS25,2026-07-24T14:52:32,CSOP10(300mil)(5R)
Q26074651-2,N5-14,焊线,2QHE03,2026-07-24T14:44:19,TO-252-5L
Q26073676-11,D20-02,焊线,3QHS002,2026-07-23T10:56:15,TSSOP8(8R)
Q26066597-5,Q08-05,焊线,3QHS3936,2026-07-24T12:16:56,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26073102-1,D15-07,焊线,3QHS4028,2026-07-24T09:44:48,SOP8(150mil)(12R)
Q26055571-18,D22-9,焊线,3QHS4327,2026-07-24T12:42:51,MSOP8(118mil)(14R)
Q26062330-3,D08-03,焊线,3QHS3736,2026-07-24T12:06:09,TSSOP38
Q26044138-6,Q21-03,焊线,3QHS32,2026-07-24T14:13:09,MSOP10(8R)
Q26072231-21,D22-5,焊线,3QHS4323,2026-07-24T12:24:11,TSSOP14(173mil)(10R)
Q26067924-10,C17-07,焊线,3QHS4221,2026-07-24T13:17:55,SOP14(9R)
Q26073887-2,N4-8,焊线,2QHE81,2026-07-24T13:29:54,TO-252-2L(6R)
Q26075033-4,Q04-22,焊线,3QHS3090,2026-07-24T12:44:01,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26075290-4,N1-8,焊线,2QHE72,2026-07-24T12:33:48,TO-252-2L(8R)
Q26057755-7,Q24-02,焊线,3QHS2692,2026-07-24T08:16:54,QFNWB1.9*1.8-12L-NA(P0.40T0.55)
Q26073889-6-3,Q04-21,焊线,3QHS3122,2026-07-24T09:28:17,DFNWB1*1.4-4L(P0.5T0.37)
Q26074424-2,Q15-05,焊线,3QHS224,2026-07-24T14:09:49,SOP8/PP(150mil)(12R)
Q26072545-13,D16-08,焊线,3QHS3772,2026-07-24T12:23:31,MSOP8/PP
Q26067554-11,C01-16,焊线,3QHS3823,2026-07-24T08:49:38,SOP8/PP(150mil)(12R)
Q26071851-14,Q22-05,焊线,3QHS214,2026-07-24T14:46:38,SOP8(208mil)(6R)
Q26073125-3,Q02-11,焊线,3QHS4041,2026-07-24T13:50:57,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26073136-4,Q10-18,焊线,3QHS335,2026-07-24T11:17:22,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26067561-15,N1-11,焊线,2QHE65,2026-07-24T10:16:40,SOP8(150mil)(12R)
Q26068689-14,D04-04,焊线,3QHS3102,2026-07-24T12:07:25,SOP8(150mil)(12R)
Q26071817-4,D14-02,焊线,3QHS733,2026-07-24T12:42:32,SOP8(150mil)(12R)
Q26073203-8,Q03-01,焊线,3QHS3890,2026-07-24T14:47:18,DFNWB2*2-8L-AK(P0.50T0.75)(1 block)
Q26070029-1,Q20-08,焊线,3QHS4018,2026-07-23T22:53:52,DFNWB1.4*1-8L-C(P0.35T0.37)
Q26062348-20,C01-13,焊线,3QHS3819,2026-07-24T08:51:01,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26062167-3,Q23-13,焊线,3QHS3792,2026-07-24T14:45:39,MSOP8(8R)
Q26066657-2,C12-02,焊线,3QHS4142,2026-07-24T12:06:37,TSSOP20(173mil)(10R)
Q26056345-6,D06-07,焊线,3QHS3798,2026-07-24T13:45:01,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26066116-1,D15-08,焊线,3QHS4027,2026-07-24T12:51:45,SOP8(8R)
Q26072599-24,Q10-06,焊线,3QHS2689,2026-07-24T05:01:58,DFNWB2*3-8L-ND(P0.50T0.75)(1 block)
Q26074941-1,N13-7,焊线,2QHB60,2026-07-24T04:14:51,TO-252-2L(6R)
Q26072381-5,D19-16,焊线,3QHS502,2026-07-24T09:12:04,SSOP16
Q26074694-1-2,N21-8,焊线,2QHB26,2026-07-24T10:05:47,TO-220-3L-C(T0.5mm)
Q26073821-33,Q12-06,焊线,3QHS3809,2026-07-24T14:10:20,SOP16(150mil)(12R)
Q26062372-2,C17-04,焊线,3QHS4228,2026-07-24T05:49:22,SOP8(150mil)(12R)
Q26074514-37,D21-9,焊线,3QHS4343,2026-07-24T06:49:22,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26072878-6,Q19-07,焊线,3QHS310,2026-07-24T06:11:35,TSSOP28
Q26071375-14,Q09-01,焊线,3QHS3807,2026-07-24T11:24:07,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26071375-15,Q11-06,焊线,3QHS3930,2026-07-24T12:15:54,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26071375-16,Q04-10,焊线,3QHS3877,2026-07-24T13:13:28,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26066365-15,D19-15,焊线,3QHS109,2026-07-24T10:03:18,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26063769-12,Q17-04,焊线,3QHS572,2026-07-24T11:16:11,SOP8(150mil)(12R)
Q26056376-4,Q09-05,焊线,3QHS4009,2026-07-24T11:04:12,DFNWB2*2-06L-AB(P0.65T0.75)(1 block)
Q26068250-4,C12-13,焊线,3QHS4153,2026-07-24T10:48:59,SSOP10(150mil)(8R)
Q26072009-1,Q09-15,焊线,3QHS3029,2026-07-24T10:19:34,QFNWB3*3-16L(P0.50T0.75)(1 block)
Q26065304-21,Q01-09,焊线,3QHS3967,2026-07-24T13:41:00,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26067607-1,Q04-04,焊线,3QHS3879,2026-07-24T12:56:15,DFNWB3*3-08L-F(P0.65T0.75)(1 block)
