SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26071921-4,N,2QHB126,焊线2,2026-07-24T13:46:04,TO-252-2L(8R)
Q26067870-6,N21-4,2QHB19,焊线2,2026-07-24T12:56:25,TO-252-2L(6R)
Q26067871-5,N15-5,2QHB75,焊线2,2026-07-24T13:56:39,TO-252-2L(6R)
Q26074684-1-3,N21-7,2QHB24,焊线2,2026-07-24T13:50:39,TO-220-3L-C(T0.5mm)
Q26074652-19,Q10-12,3QHS389,焊线2,2026-07-24T14:10:12,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26065400-3,N17-4,2QHB68,焊线2,2026-07-24T12:48:17,TOLL-8L(6R)
Q26067561-14,N8-3,3QHS3017,焊线2,2026-07-24T13:04:06,SOP8(150mil)(12R)
Q26065397-2,N16-7,2QHB98,焊线2,2026-07-24T14:44:00,TOLL-8L(6R)
Q26065399-1,N12-3,2QHB110,焊线2,2026-07-24T14:56:40,TOLL-8L(6R)
Q26067561-8,N8-5,3QHS696,焊线2,2026-07-24T14:18:37,SOP8(150mil)(12R)
Q26064711-7,C14-09,3QHS4183,焊线2,2026-07-24T14:08:49,SSOP16/PP(150mil)(8R)(P0.5A)
Q26073483-4,N15-3,2QHB85,焊线2,2026-07-24T13:38:02,PDFN5×6-8L(12R)
Q26074622-1,N19-4,2QHB58,焊线2,2026-07-24T14:15:59,TO-263-7L(2R)
Q26071599-21,N14-3,2QHB113,焊线2,2026-07-24T14:16:25,PDFN5×6-8L(12R)
Q26072624-4,N2-12,3QHS6012,焊线2,2026-07-21T22:41:08,PDFNWB5×6-8L(P1.27T0.95)
Q26072624-7,N3-12,3QHS6021,焊线2,2026-07-22T01:40:21,PDFNWB5×6-8L(P1.27T0.95)
Q26065398-4,N12-6,2QHB108,焊线2,2026-07-23T23:07:29,TOLL-8L(6R)
Q26065408-1,N12-3,2QHB110,焊线2,2026-07-23T19:55:34,TOLL-8L(6R)
Q26065398-3,N12-4,2QHB106,焊线2,2026-07-23T14:30:15,TOLL-8L(6R)
Q26066330-2,N12-2,2QHB111,焊线2,2026-07-24T04:59:51,TOLLB-8L(6R)
Q26067873-7,N17-7,2QHB81,焊线2,2026-07-24T13:53:41,TO-252-2L(6R)
Q26068536-3,Q13-11,3QHS560,焊线2,2026-07-23T20:16:27,SOP8(150mil)(12R)
Q26065398-5,N14-5,2QHB124,焊线2,2026-07-23T21:48:13,TOLL-8L(6R)
Q26067873-2,N22-5,2QHB23,焊线2,2026-07-24T02:56:04,TO-252-2L(6R)
Q26073225-1,N1-13,2QHE61,焊线2,2026-07-24T13:09:32,PDFN5×6-8L(12R)
Q26065398-7,N14-6,2QHB123,焊线2,2026-07-23T21:19:29,TOLL-8L(6R)
Q26065400-5,N14-5,2QHB124,焊线2,2026-07-23T08:06:34,TOLL-8L(6R)
Q26067871-4,N13-6,2QHB61,焊线2,2026-07-24T10:17:42,TO-252-2L(6R)
Q26073531-4,N17-3,2QHB69,焊线2,2026-07-24T14:08:05,PDFN5×6-8L(12R)
Q26073515-1,N14-9,2QHB122,焊线2,2026-07-23T19:03:56,TO-252-2L(8R)
Q26074663-2-3,N22-3,2QHB39,焊线2,2026-07-24T12:35:07,TO-220-3L-C(T0.5mm)
Q26063143-6,N12-6,2QHB108,焊线2,2026-07-22T21:18:12,TOLL-8L(6R)
Q26073286-1,N,2QHB129,焊线2,2026-07-24T10:57:21,PDFN5×6-8L(12R)
Q26074663-1-1,N21-7,2QHB24,焊线2,2026-07-23T22:47:41,TO-220-3L-C(T0.5mm)
