PACKAGE,次数,TASK_TYPE分布,样例SUBLOT
PDFNWB3.3×3.3-8L-B(P0.65T0.75),1,STAGING_TO_WIRE:1,Q26072648-1
PDFNWB5×6-8L(P1.27T0.95),11,STAGING_TO_WIRE:1; WIRE_TO_NITROGEN:4; WIRE_TO_OPTICAL:6,Q26066357-3 | Q26066352-3 | Q26066351-3
PDFNWB5×6-8L-A(P1.27T0.95),4,WIRE_TO_NITROGEN:4,Q26079098-1 | Q26079099-1 | Q26079097-1
QFNWB1.4*1.8-10L-B(P0.40T0.55),1,WIRE_TO_GATE:1,Q26072457-16
QFNWB1.5*1.5-08L-C(P0.50T0.55),1,STAGING_TO_WIRE:1,Q26073759-1
QFNWB1.6*1.6-14L-NA(P0.35T0.55),2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26073653-9 | Q26073653-15
QFNWB1.7*2-12L-C(P0.40T0.50),3,DIE_TO_OVEN:2; STAGING_TO_WIRE:1,Q26072631-62 | Q26072631-13 | Q26072631-4
QFNWB1.9*1.8-12L-NA(P0.40T0.55),2,STAGING_TO_WIRE:2,Q26057755-8 | Q26057755-7
QFNWB3*3-16L(P0.50T0.75)(1 block),4,STAGING_TO_WIRE:4,Q26061317-2 | Q26072009-1 | Q26061316-3
QFNWB3.5*3.5-14L(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26067145-24
QFNWB3.5*3.5-14L(P0.50T0.85)(1 block),2,DIE_TO_OVEN:2,Q26079876-1 | Q26079875-1
QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)(wettable),2,STAGING_TO_WIRE:2,Q26064033-4 | Q26064033-6
QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block),4,DIE_TO_OVEN:3; STAGING_TO_WIRE:1,Q26068792-6 | Q26068792-8 | Q26068792-7
QFNWB4*4-24L(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26073235-11
QFNWB4*4-24L-M(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26079485-1
QFNWB5*5-32L(P0.50T0.75)(1 block),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26074761-11 | Q26074762-2
SOP14(9R),16,STAGING_TO_WIRE:9; WIRE_TO_GATE:3; WIRE_TO_OPTICAL:4,Q26073824-10 | Q26066464-6 | Q26073824-12
SOP16(150mil)(12R),9,DIE_TO_OVEN:2; STAGING_TO_WIRE:6; WIRE_TO_GATE:1,Q26071763-10 | Q26073821-36 | Q26073821-21
SOP16(300mil)(5R),9,DIE_TO_OVEN:1; STAGING_TO_WIRE:4; WIRE_TO_GATE:1; WIRE_TO_NITROGEN:1; WIRE_TO_OPTICAL:2,Q26073023-5 | Q26061163-69 | Q26067923-6-1
SOP28(300mil)(5R),6,STAGING_TO_WIRE:4; WIRE_TO_GATE:2,Q26064705-54 | Q26067930-45 | Q26067930-48
SOP8(150mil)(12R),78,DIE_TO_OVEN:19; STAGING_TO_WIRE:22; WIRE_TO_GATE:21; WIRE_TO_NITROGEN:8; WIRE_TO_OPTICAL:8,Q26073664-4 | Q26073668-5 | Q26073861-10
SOP8(208mil)(6R),2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26071851-7 | Q26071851-14
SOP8(300mil)(5R),3,STAGING_TO_WIRE:3,Q26063201-6-1 | Q26066995-3 | Q26066995-14
SOP8(8R),5,STAGING_TO_WIRE:3; WIRE_TO_GATE:2,Q26073522-3 | Q26072476-3 | Q26066116-1
SOP8/PP(150mil)(12R),27,DIE_TO_OVEN:7; STAGING_TO_WIRE:17; WIRE_TO_GATE:2; WIRE_TO_OPTICAL:1,Q26063224-8 | Q26074602-21 | Q26072967-6
SSOP10,2,DIE_TO_OVEN:2,Q26072641-2 | Q26072641-1
SSOP10(150mil)(8R),3,STAGING_TO_WIRE:3,Q26073928-2 | Q26068250-4 | Q26074791-5
SSOP14/PP(150mil)(8R),10,DIE_TO_OVEN:1; STAGING_TO_WIRE:2; WIRE_TO_NITROGEN:2; WIRE_TO_OPTICAL:5,Q26073213-2 | Q26067490-3 | Q26067490-9
SSOP16,2,STAGING_TO_WIRE:2,Q26072381-5 | Q26072382-1
SSOP16(150mil)(8R),4,STAGING_TO_WIRE:3; WIRE_TO_GATE:1,Q26066097-7 | Q26057114-15 | Q26057114-17
