PACKAGE,次数,TASK_TYPE分布,样例SUBLOT
PDFNWB5×6-8L(P1.27T0.95),5,STAGING_TO_WIRE:2; WIRE_TO_GATE:3,Q26071900-3 | Q26071900-2 | Q26071858-1
QFNWB1.4*1.8-10L-B(P0.40T0.55),6,STAGING_TO_WIRE:3; WIRE_TO_GATE:3,Q26067551-24 | Q26067551-21 | Q26067608-11
QFNWB1.7*2-12L-C(P0.40T0.50),8,DIE_TO_OVEN:1; STAGING_TO_WIRE:3; WIRE_TO_GATE:4,Q26072185-32 | Q26071865-8 | Q26071163-1
QFNWB3*3-12L-NA(P0.50T0.75)(1 block),2,STAGING_TO_WIRE:2,Q26062664-9 | Q26062664-5
QFNWB3*3-16L(P0.50T0.75)(1 block),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26057326-5 | Q26066527-25
QFNWB3*3-20L-A(P0.4T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26071458-2
QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)(wettable),1,STAGING_TO_WIRE:1,Q26064010-9
QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block),1,DIE_TO_OVEN:1,Q26068796-12
QFNWB4*4-23L(P0.50T0.75)(1 block),1,DIE_TO_OVEN:1,Q26068291-11
QFNWB4*4-24L(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26066828-3
QFNWB4*4-24L-NA(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26071924-12
QFNWB4*4-32L-A(P0.40T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26071558-12
QFNWB5*5-20L-D(P0.65T0.75)(1 block),3,STAGING_TO_WIRE:3,Q26069C70-1 | Q26068753-32 | Q26068753-31
SOP12(150mil)(12R),1,STAGING_TO_WIRE:1,Q26061716-4
SOP14(9R),22,DIE_TO_OVEN:5; STAGING_TO_WIRE:11; WIRE_TO_GATE:3; WIRE_TO_OPTICAL:3,Q26064755-5 | Q26052298-24 | Q26065335-3-2
SOP16(150mil)(12R),8,DIE_TO_OVEN:3; STAGING_TO_WIRE:2; WIRE_TO_GATE:2; WIRE_TO_OPTICAL:1,Q26063602-10 | Q26072328-6 | Q26072328-5
SOP16(300mil)(5R),8,STAGING_TO_WIRE:4; WIRE_TO_GATE:2; WIRE_TO_OPTICAL:2,Q26061163-62 | Q26061163-33 | Q26052870-3-7
SOP16(307mil)(5R),9,DIE_TO_OVEN:2; STAGING_TO_WIRE:2; WIRE_TO_OPTICAL:5,Q26066461-19 | Q26066460-1 | Q26066509-2
SOP20(4R),3,DIE_TO_OVEN:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26047461-5 | Q26047408-1 | Q26047408-5
SOP24,2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26067497-28 | Q26067497-44
SOP28(300mil)(5R),9,DIE_TO_OVEN:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:7,Q26067619-8 | Q26064703-3 | Q26064703-10
SOP7(150mil)(12R),1,DIE_TO_OVEN:1,Q26067463-1
SOP8(150mil)(12R),62,DIE_TO_OVEN:16; STAGING_TO_WIRE:29; WIRE_TO_GATE:14; WIRE_TO_OPTICAL:3,Q26068152-42 | Q26067719-8 | Q26071252-5
SOP8(300mil)(5R),1,DIE_TO_OVEN:1,Q26063201-5-1
SOP8(8R),3,DIE_TO_OVEN:2; STAGING_TO_WIRE:1,Q26071476-6 | Q26072477-16 | Q26062789-8
SOP8/PP(150mil)(12R),62,DIE_TO_OVEN:17; STAGING_TO_WIRE:18; WIRE_TO_GATE:16; WIRE_TO_OPTICAL:11,Q26068648-2 | Q26067894-7 | Q26068082-6
SSOP10,5,DIE_TO_OVEN:2; STAGING_TO_WIRE:3,Q26072144-3 | Q26072144-4 | Q26072965-4
SSOP10(150mil)(8R),4,DIE_TO_OVEN:2; STAGING_TO_WIRE:2,Q26068246-2 | Q26068239-4 | Q26067762-8
SSOP14/PP(150mil)(8R),4,STAGING_TO_WIRE:1; WIRE_TO_OPTICAL:3,Q26064485-19 | Q26064485-5 | Q26064485-20
SSOP16(150mil)(8R),5,DIE_TO_OVEN:2; STAGING_TO_WIRE:2; WIRE_TO_GATE:1,Q26066098-6 | Q26066098-5 | Q26064562-9
SSOP16/PP(150mil)(8R)(P0.5),7,STAGING_TO_WIRE:1; WIRE_TO_OPTICAL:6,Q26064484-6 | Q26064484-13 | Q26066042-2
SSOP16/PP(150mil)(8R)(P0.5A),3,STAGING_TO_WIRE:3,Q26064708-2 | Q26065457-9 | Q26065457-7
SSOP20(209mil),1,STAGING_TO_WIRE:1,Q26068755-1
SSOP24(150mil),1,WIRE_TO_GATE:1,Q26067582-8
SSOP28(209mil)(7R),3,DIE_TO_OVEN:2; STAGING_TO_WIRE:1,Q26072603-9 | Q26072603-10 | Q26072603-3
TO-220F-C,2,DIE_TO_WIRE_STAGING:2,Q26072103-22 | Q26072980-5
TO-247Plus-3L,5,DIE_TO_WIRE_STAGING:5,Q26079818-1 | Q26079819-1 | Q26079820-1
TSOT-23-6L,1,WIRE_TO_GATE:1,Q26071910-3
TSOT-23-8L,1,DIE_TO_OVEN:1,Q26067657-3
TSSOP14,5,STAGING_TO_WIRE:3; WIRE_TO_GATE:2,Q26071433-13 | Q26066736-12 | Q26065431-2
TSSOP14(173mil)(10R),6,DIE_TO_OVEN:2; STAGING_TO_WIRE:3; WIRE_TO_GATE:1,Q26067148-11 | Q26061900-30 | Q26061899-29
TSSOP14/PP(173mil)(10R),1,WIRE_TO_OPTICAL:1,Q26079260-1
TSSOP16,6,DIE_TO_OVEN:2; STAGING_TO_WIRE:2; WIRE_TO_GATE:2,Q26068608-3 | Q26068608-4 | Q26064759-12
TSSOP16(173mil)(10R),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26042162-7 | Q26069647-1
TSSOP16/PP(173mil)(10R),2,WIRE_TO_GATE:2,Q26057173-18 | Q26057173-23
TSSOP20(173mil)(10R),7,STAGING_TO_WIRE:4; WIRE_TO_GATE:3,Q26068740-6 | Q26068740-5 | Q26068740-16
TSSOP20/PP(173mil)(10R),2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26038938-5 | Q26054275-3
TSSOP24/PP(173mil)(10R),2,DIE_TO_OVEN:2,Q26053029-1 | Q26053029-2
TSSOP28,2,DIE_TO_OVEN:2,Q26055337-23 | Q26055337-24
TSSOP28/PP(173mil)(10R),13,DIE_TO_OVEN:3; STAGING_TO_WIRE:1; WIRE_TO_OPTICAL:9,Q26061334-9 | Q26061334-10 | Q26061143-18
TSSOP8(8R),9,DIE_TO_OVEN:1; STAGING_TO_WIRE:8,Q26072178-18 | Q26071623-1 | Q26072178-8
