PACKAGE,matched_pattern,max_boxes_per_basket,次数,TASK_TYPE分布,样例SUBLOT
TOLL-11L(6R),TOLL-,3,3,DIE_TO_WIRE_STAGING:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26072431-1 | Q26072463-3 | Q26072465-1
TOLL-8L(6R),TOLL-,3,6,DIE_TO_WIRE_STAGING:5; WIRE_TO_GATE:1,Q26066792-4 | Q26063138-3 | Q26061779-6
