PACKAGE,matched_pattern,max_boxes_per_basket,次数,TASK_TYPE分布,样例SUBLOT
TOLL-11L(6R),TOLL-,3,1,DIE_TO_WIRE_STAGING:1,Q26073902-1
TOLL-8L(6R),TOLL-,3,24,DIE_TO_WIRE_STAGING:2; WIRE_TO_NITROGEN:20; WIRE_TO_OPTICAL:2,Q26065404-7 | Q26065403-2 | Q26071759-1
