TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
WIRE_TO_GATE,Q26072476-3,D15-08,3QHS4027,焊线关卡,2026-07-24T14:48:54,SOP8(8R)
WIRE_TO_GATE,Q26055162-8,Q14-08,3QHS3031,焊线关卡,2026-07-24T14:42:29,TSSOP16
WIRE_TO_GATE,Q26071921-3,N1-10,2QHE59,焊线关卡,2026-07-24T14:52:48,TO-252-2L(8R)
WIRE_TO_GATE,Q26066245-3,C14-11,3QHS4129,焊线关卡,2026-07-24T14:52:49,TSSOP24(173mil)(10R)
WIRE_TO_GATE,Q26067398-39,D20-06,3QHS503,焊线关卡,2026-07-24T13:48:00,DFNWB2.5*1-10L-H(P0.50T0.50)
WIRE_TO_GATE,Q26061851-3,C13-13,3QHS4170,焊线关卡,2026-07-24T08:24:58,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
WIRE_TO_GATE,Q26071188-8,D13-03,3QHS3135,焊线关卡,2026-07-24T14:31:04,MSOP8(8R)
WIRE_TO_GATE,Q26064154-14,C13-12,3QHS4169,焊线关卡,2026-07-24T01:18:05,SOP8(150mil)(12R)
WIRE_TO_GATE,Q26072457-16,Q04-17,3QHS4056,焊线关卡,2026-07-24T13:23:20,QFNWB1.4*1.8-10L-B(P0.40T0.55)
WIRE_TO_GATE,Q26068689-9,D21-7,3QHS4341,焊线关卡,2026-07-24T13:23:29,SOP8(150mil)(12R)
WIRE_TO_GATE,Q26071851-7,Q15-07,3QHS324,焊线关卡,2026-07-24T13:23:30,SOP8(208mil)(6R)
WIRE_TO_GATE,Q26061851-2,C16-11,3QHS4268,焊线关卡,2026-07-24T10:09:24,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
WIRE_TO_GATE,Q26067561-13,N1-11,2QHE65,焊线关卡,2026-07-24T13:59:19,SOP8(150mil)(12R)
WIRE_TO_GATE,Q26067345-5,N6-11,2QHE47,焊线关卡,2026-07-24T14:00:59,PDFNWB3.3×3.3-8L(P0.65T0.75)
WIRE_TO_GATE,Q26067782-10,C09-06,3QHS4095,焊线关卡,2026-07-24T10:56:40,MSOP8(8R)
WIRE_TO_GATE,Q26068689-2,D21-15,3QHS3780,焊线关卡,2026-07-22T22:01:58,SOP8(150mil)(12R)
